,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
858,[-0.9319548266666667],[0.024428349],[-0.15973476516666665],[-0.23630968000000005],[0.04082317833333334],[0.015891977666666664],[0.6198786066666667],[0.7341242216666667],[0.20622583816666665],[-0.17506952666666664],[0.5743395266666665],[-0.19538021333333333],[0.6020976966666667],[-0.32248755916666666],[-0.3609328516666666],[-0.36789011833333335],[-1.2441178216666666],[0.8501263866666666],[-0.3031026433333333],[0.4426001166666667],[-0.3355524433333334],[-0.024731328333333333],[-0.30053707166666666],[0.2393156433333333],[0.3676539108333334],[-0.07573031649999999],[0.28143213666666667],[-0.7288809733333332],0,6
859,[-1.1284273],[0.02246721216666665],[-0.5358272015],[-0.2950463801666667],[0.16779729416666664],[-0.059422310833333325],[0.7662418766666667],[0.5943489850000001],[0.06562639866666667],[-0.3731099316666666],[0.522573445],[-0.16811606666666667],[0.8148120316666666],[-0.3676803166666667],[-0.6392897983333333],[-0.805993335],[-1.0469235233333334],[0.8826874066666667],[-0.44350118333333327],[0.49394235999999997],[-0.17409592833333332],[0.19161783583333336],[0.22003763166666665],[0.8588752816666668],[0.3438663208333333],[0.008935618499999996],[0.7859850583333333],[-0.9779534383333334],0,6
860,[-0.677805326],[-0.1011843572],[-0.27696960200000004],[-0.061874317600000006],[-0.34720569200000007],[-0.058604990200000005],[0.30926204999999996],[0.43297940000000007],[0.406092954],[0.1466760764],[0.618340608],[-0.408351836],[0.1237858414],[-0.31359417599999995],[-0.40552486399999993],[-0.282349942],[-0.835448332],[0.504374296],[-0.278994368],[0.33998071999999996],[0.101572277],[-0.050647027],[-0.25272917799999994],[0.265966536],[0.231053072],[-0.22616063399999997],[0.34478342600000006],[-0.1483392666],0,5
861,[-0.56846666],[-0.069140365],[-0.23781173499999997],[-0.05846154883333334],[-0.5558716883333333],[-0.07048492066666666],[0.34850222000000003],[0.61009744],[0.8000580849999999],[0.05807343100000001],[0.9176330783333332],[-0.47108433833333335],[0.15009239133333332],[-0.47203103166666666],[-0.4511242516666667],[-0.23229026166666666],[-0.9593636783333334],[0.6056922966666667],[-0.21243032166666667],[0.2737400433333333],[0.1853396075],[-0.035959214999999996],[-0.22530503899999998],[0.4119552883333333],[0.2962010216666667],[-0.21858136000000003],[0.42778690166666666],[-0.179715618],0,6
862,[-1.1284107166666664],[-0.15024793566666667],[-0.5421100233333334],[-0.19433436883333335],[0.45866815833333335],[-0.4576800468333333],[0.6937492966666667],[-0.15370290833333333],[0.7593238733333334],[-0.008038404333333334],[0.6130070483333333],[-0.41736237833333334],[0.24323651833333335],[0.39247562250000007],[-0.2666662066666667],[-0.6405933466666667],[-0.8904958066666667],[0.6443695816666667],[-0.5020377783333333],[0.87085897],[0.32915174233333333],[-0.450084916],[-0.22019302083333336],[-0.0008377516666666687],[0.6560629966666668],[-0.063334797],[0.81117249],[0.042108301666666674],0,6
863,[-0.91091832],[-0.13511470933333333],[-0.24330856499999998],[0.1883807668333333],[-0.03426085216666666],[-0.3410050336666666],[0.45122567500000005],[0.7187459083333333],[0.16014162066666668],[0.12383524833333333],[0.7813263899999999],[-0.4514226583333332],[0.34218607733333334],[0.11625154166666667],[-0.3797492883333333],[-0.5615996433333333],[-0.8435470216666667],[0.41305899383333333],[-0.2876454316666667],[0.20206088599999997],[-0.26525249],[-0.057851588666666676],[-0.1102060875],[-0.13579870766666668],[0.215565117],[-0.14552043733333334],[0.29361537666666665],[-0.175933314],0,6
864,[-2.0526580999999995],[-0.09156213719999999],[0.061426730000000006],[-0.236988774],[0.1537943706],[-0.377502184],[1.1404340960000001],[2.09505928],[1.3154305999999998],[-0.012881478599999987],[1.17765222],[-1.15093336],[-0.586070312],[-0.49279582600000005],[-0.696900863],[-0.852095198],[-1.7533378800000001],[0.9595021679999999],[-0.487521886],[-0.29705897439999995],[-0.2462792568],[-0.201987966],[-0.739099792],[-0.009011411999999986],[0.38904134],[0.2693760958],[0.42570457399999995],[-0.012022373399999996],0,5
865,[-1.526311525],[0.14123987833333332],[-0.38767001500000003],[0.31367159833333336],[0.3261302963333333],[-0.35548820666666664],[0.4203830733333333],[1.7173600833333331],[0.8723546166666666],[0.020409760000000016],[1.8269528500000003],[-0.8376427216666666],[-0.4105334416666666],[0.3472926838333333],[-0.5485220036666666],[-0.97860508],[-1.5918359000000002],[0.54803451],[-0.646737825],[-0.23292447500000002],[-0.03675906499999999],[-0.6275858743333333],[-0.8174941466666666],[0.20100739833333336],[0.5378911303333334],[0.27932180333333334],[0.6230513449999999],[-0.13598110716666667],0,6
866,[-1.6560316499999999],[0.45999035183333326],[0.03990002683333333],[-0.13487728166666668],[0.10383677766666662],[-0.15678561666666666],[0.647573525],[1.6298959833333333],[0.6537963533333334],[0.8119708550000001],[1.4905536833333333],[-1.4153020566666668],[0.9916537394999999],[-0.45122414666666666],[-1.1786456683333333],[-1.6314657716666667],[-2.819478633333333],[0.5021435035],[-1.109658435],[0.5254992249999999],[-0.32239526999999996],[-0.4919789951666666],[-0.3679327333333333],[0.38338442666666667],[0.7706571516666668],[0.40198779999999995],[0.9631609999999999],[-1.2859114249999999],0,6
867,[-2.205439],[-0.022807066666666664],[-0.7460215606666667],[0.8967214033333334],[0.18992490016666666],[-0.8215071200000001],[0.6562497691666667],[1.2337342666666669],[1.3007846583333333],[-0.238400855],[2.093394088333333],[-1.3157528500000002],[0.8203214966666668],[0.2115125475],[-0.7322930546666667],[-1.4382021499999997],[-1.5594905166666664],[0.7745478183333333],[-1.1118801366666666],[0.39324735833333335],[-0.1378532325],[-1.3242845733333333],[-0.926024625],[-0.20912086833333335],[0.2919904816666667],[0.7886636738333334],[0.6822968883333335],[-0.550847795],0,6
868,[-0.8589733880000001],[0.1473745048],[-0.07885531940000001],[-0.197311112],[-0.487074638],[-0.6145510146000001],[0.88981936],[1.07144127],[0.34212223399999997],[-0.196066743],[0.496097378],[-0.37379594600000005],[0.9934481419999999],[-0.7597894159999999],[-0.07701742200000003],[-0.2775749188],[-1.8354480799999997],[0.5298272800000001],[-0.219171744],[0.997810544],[-0.30427506800000004],[0.207506096],[-0.380070736],[0.19047014199999998],[0.5081602724],[0.037774407999999995],[0.9329556100000002],[-0.8074265320000003],0,5
869,[-0.9403261349999998],[0.061174187],[0.015051331999999999],[-0.221270235],[-0.24199475166666665],[-0.13046056383333335],[0.7511286066666667],[1.3130139833333334],[0.23564767],[-0.20369352083333334],[0.8855583816666667],[-0.4832847916666667],[0.94913501],[-0.54932506],[-0.5814756],[-0.38657709166666665],[-1.7358978],[1.5509947833333333],[-0.28927562833333337],[0.7008348766666668],[-0.3560323916666667],[0.26679188833333334],[-0.34566319833333337],[0.5497948666666668],[0.1406884285],[0.03820336333333333],[0.5103550666666666],[-0.9786937849999999],0,6
870,[-1.2740033166666667],[0.05529468516666667],[-0.6618827629999999],[0.5059668116666667],[0.10354614749999998],[-0.68910306],[0.874106025],[1.3075321000000002],[0.07324583183333334],[-0.241894368],[0.7981982716666667],[-0.755201565],[0.49416122500000004],[0.26545416000000005],[-0.431673365],[-0.21984314833333332],[-1.5224966999999998],[0.9932131233333333],[-0.45468791166666667],[0.5871774583333335],[-0.047682058500000006],[-0.08845327116666667],[-0.9592678783333333],[0.006251686666666673],[0.7586318866666667],[0.03052721916666667],[0.7401159266666667],[-0.2983144305],0,6
871,[-1.06007765],[0.08590897133333335],[0.03963508566666666],[-0.110558343],[-0.21378561166666668],[-0.04974082916666667],[0.7455089149999999],[1.1454079],[0.06614973533333335],[-0.22714757566666668],[0.753092585],[-0.435089565],[1.0110328966666666],[-0.41613158833333336],[-0.48732211666666664],[-0.329640305],[-1.6518142500000002],[1.4353679],[-0.315381045],[0.7347035383333335],[-0.3919211733333334],[0.33335855166666667],[-0.33987738333333334],[0.3367017433333333],[0.16705736733333332],[-0.046215337999999995],[0.36682510166666665],[-0.903369965],0,6
872,[-1.341611294],[-0.058247474],[0.19465649219999998],[-0.056618791999999994],[0.030990469999999992],[-0.36173103999999995],[0.49092605999999994],[1.1830232920000001],[0.7829566619999999],[0.049674854],[1.1143729],[-0.7927975439999999],[-0.15713927519999998],[0.1593712722],[-0.408933956],[-0.666390474],[-1.0572680780000001],[0.502197552],[-0.5692128820000001],[0.2326822212],[-0.250392002],[-0.880020654],[-0.692894998],[-0.39841648],[0.23385240080000003],[0.20173100600000002],[0.188863482],[-0.07581147660000001],0,5
873,[-1.1414702583333334],[-0.08531613816666667],[-0.19237364749999997],[-0.611671255],[0.12074845866666666],[-0.6166549466666668],[0.5987359999999999],[1.2561280833333335],[0.9722334833333335],[0.6632834783333333],[1.3390966066666667],[-0.579970575],[-0.3872687816666667],[0.31328389333333334],[-0.685729115],[-0.8005321833333334],[-0.9253546066666667],[0.6654927],[-0.4248172866666666],[-0.011389316666666663],[-0.0433182935],[-0.88805386],[-0.7298537366666666],[-0.010708354500000008],[0.650988875],[-0.1442992625],[0.7896541600000001],[0.13663267333333334],0,6
874,[-0.8250956666666668],[-0.11650551599999999],[-0.19441416666666667],[-0.35911007533333333],[0.2827205835],[-0.31828217],[0.5793182583333333],[1.4065524499999997],[0.7884348966666667],[0.014231224999999995],[1.3234725583333333],[-0.6514159616666667],[-0.5271683083333334],[0.08704825033333334],[-0.3209797473333334],[-0.7560362733333333],[-1.1366668566666667],[0.6139030116666667],[-0.41425103333333335],[-0.07466350666666666],[0.08751980333333331],[-0.30870933166666664],[-0.8060683616666666],[0.10227160583333333],[0.5189778583333333],[-0.002799351666666653],[0.4803770733333333],[0.0685996135],0,6
875,[-1.25577845],[-0.019640060166666657],[-0.23280356666666668],[0.1700603315],[0.25346303083333327],[-0.34602362333333336],[0.7122532933333333],[1.3448659333333335],[0.46248605000000004],[0.07430460083333333],[1.13762096],[-0.6093902366666667],[-0.25383025833333334],[0.026182138999999993],[-0.24732532833333334],[-0.45182097833333335],[-0.9727022483333333],[0.30996124433333333],[-0.29613549833333336],[0.17729720100000002],[-0.19579466266666667],[-0.16168997999999998],[-0.44935674666666664],[-0.2875228911666667],[0.4253139633333333],[-0.10746449983333334],[0.48579892166666666],[-0.19961250666666663],0,6
876,[-0.9410394766666667],[-0.15530084749999998],[-0.09344217733333333],[-0.238962733],[0.35284113],[-0.549740935],[0.49910309333333336],[1.069568475],[0.36762141733333337],[0.4200823083333334],[0.69340992],[-0.441761315],[0.07865810583333334],[0.0597339895],[-0.37407472],[-0.38665169000000005],[-0.8942054716666666],[0.4663253949999999],[-0.24882781333333337],[-0.05643653833333332],[-0.12860604350000002],[-0.5769423266666667],[-0.6833775666666666],[0.02122854866666667],[0.4360814366666667],[-0.21675024833333334],[0.35997549],[-0.1244403055],0,6
877,[-1.2393184],[-0.051574241166666666],[-0.06681675383333333],[0.07971269333333333],[0.27901169983333335],[-0.3867259006666666],[0.5073238305],[1.2088861000000002],[0.7317253066666667],[0.21500897],[1.3537018833333334],[-0.7346834400000001],[0.11591138616666667],[-0.044238808333333345],[-0.187059765],[-0.6668591983333333],[-0.9977605066666667],[0.4640110116666667],[-0.5541670449999999],[0.055126814999999996],[-0.15167923133333333],[-0.6273096683333333],[-0.6267057066666667],[-0.20707054416666668],[0.49554099166666665],[0.05293263633333332],[0.4711654966666667],[-0.2138367558333333],0,6
878,[-1.5032125333333335],[0.17627070083333332],[-0.23211644883333335],[1.065269516],[0.25852599783333335],[-0.06163325833333333],[0.2532563191666667],[1.7108255333333335],[-0.11187375499999998],[-0.52286471],[1.267233295],[-1.3937546766666669],[1.204104985],[-0.16206831033333333],[-0.5844283933333333],[-1.7633970166666666],[-1.0156544666666667],[0.05494802066666666],[-1.62760664],[0.5308165553333334],[-0.11349208666666666],[-0.14768996999999998],[-0.0470872325],[-0.32706460499999995],[-0.425876565],[0.4889717308333334],[0.5720701816666667],[-0.6891923166666666],0,6
879,[-0.6636412349999999],[0.08355188616666666],[-0.07119763900000001],[-0.041057842],[-0.12222014333333335],[-0.2194430161666667],[0.5361371816666667],[1.013976775],[0.07458902816666667],[-0.3798515423333333],[0.52306444],[-0.33356750166666665],[0.83035704],[-0.35392151499999996],[-0.43965279500000004],[-0.4279781566666667],[-1.219837775],[0.9734893549999999],[-0.2191081166666667],[0.52457364],[-0.27043317833333336],[0.14693628333333333],[-0.27014414166666667],[0.23552839550000002],[0.026962790833333333],[0.019565603999999997],[0.3378279833333333],[-0.6809398299999999],0,6
880,[-1.224775894],[0.11671931919999998],[-0.1399521934],[-0.405844908],[0.155779017],[-0.577347276],[0.47152474600000005],[1.0079154039999998],[0.3142115378],[0.57410765],[0.8247232280000001],[-0.38032314000000006],[0.8062476378000001],[0.07785946839999999],[-0.723526572],[-0.679834724],[-1.03644454],[0.6709766260000001],[0.042689541399999996],[-0.28469547700000003],[-0.286889724],[-0.538583284],[-0.8840228339999999],[0.28132475999999995],[0.468597382],[-0.1800739042],[0.5097543339999999],[-0.1466908906],0,5
881,[-1.255849743333333],[0.06680028633333333],[-0.04960862833333333],[-0.8143281716666665],[-0.16830942299999999],[-1.5992471283333334],[0.4066932383333333],[1.8744353],[0.6783079533333334],[0.40678081883333334],[2.6793181166666664],[-0.4524960150000001],[0.10213646833333334],[0.1888860685],[-0.2571421236666666],[-1.578829016666667],[-2.0664971],[0.7087688383333334],[0.0651365885],[-0.8171262],[-0.011994249999999993],[-1.0500497716666668],[-1.2747168716666668],[0.2874961483333333],[0.9020525433333333],[-0.021358470833333337],[0.7267541950000002],[-0.2566396083333333],0,6
882,[-1.1861245833333334],[0.25655347833333336],[0.11629504583333335],[-0.245715609],[0.3022801316666667],[-0.3576621096666667],[0.23053749050000003],[1.6443990666666668],[1.2244409101666667],[-0.05014062833333335],[1.4464043583333333],[-0.7207834616666666],[0.44183674166666664],[-0.19548601],[-0.3856658816666667],[-0.5909416833333333],[-1.7469413166666667],[0.5494528783333333],[0.3238936118333333],[1.089063186],[0.1498581983333334],[-1.5792491333333336],[-0.7693709750000001],[0.6279751066666667],[0.23873883333333332],[0.06927777916666666],[0.7473285483333334],[-0.5932679816666666],0,6
883,[-1.1208676766666665],[-0.07654579333333333],[-0.5149643656666667],[0.08961325083333334],[0.4494492583333334],[-0.00715139233333333],[0.14655609933333336],[0.9542313116666666],[0.4962787716666666],[-0.010828940000000009],[1.0933789666666667],[-0.22698163066666666],[0.49937786166666664],[0.03341815233333333],[-0.31571065333333337],[-0.564958815],[-1.1841125000000001],[0.18166393816666668],[0.17750737000000003],[0.5829019841666666],[-0.18138520966666669],[-0.626173135],[-0.6152709233333333],[0.16990452666666667],[0.5949044299999998],[-0.05442694149999999],[0.637683424],[-0.006768356000000013],0,6
884,[-1.106037052],[-0.070406519],[-0.087851984],[-0.1659521284],[0.212973466],[-0.124678055],[0.23450172599999997],[1.164062092],[0.177872926],[0.13595666460000003],[0.58815346],[-0.027803816000000016],[0.1678841732],[-0.65426398],[-0.06765572019999999],[-0.72911334],[-1.162879414],[0.163548604],[0.020103049999999994],[0.04756988400000005],[0.127101528],[-0.36871183399999996],[-0.42713148399999995],[0.723015072],[0.21390963580000003],[-0.15389240799999998],[0.569844628],[-0.34060992599999995],0,5
885,[-0.791172045],[-0.13486332833333334],[-0.4585021221666666],[0.035472315000000004],[0.43656646799999993],[-0.11400832783333333],[0.33661309],[0.9187459866666666],[-0.011165283833333336],[0.028855293333333337],[0.6801798875],[-0.28968261166666665],[0.24444320600000002],[-0.07921343650000001],[-0.171661845],[-0.4726897566666666],[-0.8879081733333334],[0.25085271383333335],[-0.040858344166666664],[0.15149262333333333],[-0.044300266666666664],[-0.3543504883333333],[-0.24757887999999997],[0.07447798399999998],[0.3359810876666667],[-0.17075236683333336],[0.5006718616666667],[-0.295462526],0,6
886,[-0.8490305616666666],[-0.1438415356666667],[-0.14723214266666668],[-0.34963575166666666],[0.1650026785],[-0.46457944999999995],[0.480994085],[0.8929374366666667],[0.4919412216666667],[0.34570454666666667],[0.7092799216666666],[-0.2815786966666667],[0.20681901616666665],[0.04811063383333333],[-0.25627801833333336],[-0.5346493333333333],[-0.8394417466666666],[0.4204142583333333],[-0.08972002000000001],[-0.08565246983333334],[-0.22084545],[-0.33247513166666665],[-0.5301436166666668],[0.15507724050000002],[0.543671565],[-0.15945051600000001],[0.4032648566666666],[-0.057991118833333334],0,6
887,[-0.892522345],[-0.15753037333333333],[-0.46901349433333334],[0.16588750533333332],[0.2788831843333333],[-0.18166894716666668],[0.13507511633333333],[0.7160713966666665],[0.375312885],[0.04463130633333332],[0.7556547],[-0.41204451933333336],[0.34979111799999996],[0.2295337321666667],[-0.19666365066666666],[-0.40759206333333325],[-0.8250749133333334],[0.20439185050000006],[-0.006567038500000001],[0.37281985933333334],[-0.3018318],[-0.3457484083333333],[-0.4289000266666667],[-0.218072845],[0.5237447133333333],[-0.20899819833333333],[0.4660048083333334],[-0.12822822883333332],0,6
888,[-0.66044254],[-0.216352778],[-0.1173897918],[-0.1055468128],[-0.05200893220000001],[-0.33246012],[0.335093526],[0.7204100999999999],[0.342721428],[0.266028778],[0.633313622],[-0.44267948599999996],[0.034560470999999995],[-0.05718983740000001],[-0.265062314],[-0.38563571799999996],[-0.740891724],[0.4232484080000001],[-0.058593984599999996],[0.0870110596],[-0.1808765692],[-0.21197176399999998],[-0.380370954],[0.15425937900000003],[0.385612462],[-0.204692956],[0.33252803999999997],[-0.042781784],0,5
889,[-0.6749019399999999],[-0.19962367999999997],[-0.073629839],[-0.14338666583333334],[0.09073456233333332],[-0.3876788566666667],[0.3518178983333333],[0.7529968700000002],[0.39358028000000006],[0.27073753000000006],[0.6048346],[-0.4373067333333333],[0.026654007833333337],[0.0077971155],[-0.26413167333333326],[-0.405759505],[-0.763274305],[0.36518574],[-0.08276880983333333],[0.07944416366666666],[-0.22357933900000002],[-0.23869958666666666],[-0.4632317733333333],[0.08770579516666666],[0.477860465],[-0.22806015333333332],[0.374125785],[-0.025288238500000004],0,6
890,[-0.67301593],[-0.23343841666666665],[-0.118053539],[-0.12290865983333334],[0.028142369666666667],[-0.3791028283333333],[0.36927498],[0.7357226716666667],[0.33080471166666675],[0.24398766416666665],[0.6176378],[-0.4373910049999999],[0.05339488483333333],[-0.04183388799999999],[-0.2593019916666666],[-0.42473104333333334],[-0.7789486733333334],[0.37576532],[-0.06464646916666666],[0.109234575],[-0.27340000999999997],[-0.20981347500000003],[-0.44648940499999995],[0.09902156916666667],[0.44119387],[-0.24363651666666666],[0.3583306883333333],[-0.05876239999999999],0,6
891,[-1.013499665],[-0.12515086333333333],[-0.25934082833333333],[-0.08192561433333333],[0.16565101633333332],[-0.4929475016666667],[0.47900010666666665],[0.6425345566666666],[0.489215275],[0.17816829166666667],[0.63702287],[-0.5564963766666667],[-0.13180418733333335],[0.2794902993333333],[-0.3593363600000001],[-0.5311077883333334],[-0.87201554],[0.46472264999999996],[-0.1002664075],[0.5168971658333333],[-0.16405363666666664],[-0.2093642516666667],[-0.506162765],[0.09590127666666666],[0.5051263866666665],[0.12023381666666667],[0.36154786333333333],[0.038372060000000006],0,6
892,[-1.2789715733333333],[-0.12482817066666667],[-0.4721610191666667],[-0.061060061666666665],[0.10180932516666663],[-0.368003525],[0.306423265],[0.832859315],[0.26527850000000003],[0.25435646333333334],[0.71741398],[-0.5973799583333333],[0.49719343683333334],[0.0617789675],[-0.7051209283333333],[-0.6256393783333333],[-1.0558121749999998],[0.23609846566666667],[-0.108358898],[0.294445115],[-0.2507663083333333],[-0.1864337216666667],[-0.44305510666666664],[-0.11619806333333331],[0.31475522333333333],[-0.11424567833333332],[0.5379011383333333],[-0.29893785833333336],0,6
893,[-0.6573753716666666],[-0.19341161666666665],[-0.20302774433333334],[-0.0358027575],[-0.11436412916666666],[-0.41147882366666666],[0.3449489966666666],[0.7541700050000001],[0.46069854000000005],[0.19233729983333334],[0.6567863183333333],[-0.42016578833333335],[0.17824552233333332],[-0.0871947855],[-0.3324958416666666],[-0.3265539016666667],[-0.7514873350000001],[0.360212025],[-0.09473482666666667],[0.07166014933333333],[-0.20883087],[-0.20046193333333331],[-0.31941329100000004],[0.07220265900000002],[0.40646629],[-0.12052171500000002],[0.30130097499999997],[-0.08886107283333333],0,6
894,[-0.8670524266666666],[-0.0790250065],[-0.10862973983333335],[0.004432734166666661],[0.39408538500000007],[-0.0018970208333333367],[0.54277351],[0.9161972933333332],[0.261919847],[-0.4490662],[0.7292935916666666],[-0.10344144366666665],[0.5831253583333332],[-0.11510646816666666],[0.04359091066666667],[-0.325239205],[-1.46382385],[0.38212502499999995],[0.160892771],[0.5819075483333334],[-0.277890147],[-0.16303235916666667],[-0.691162045],[0.14649688516666667],[0.302579955],[-0.19847688166666666],[0.3965766],[-0.8428620716666666],0,6
895,[-0.6994194133333332],[-0.162493695],[-0.1410233783333333],[-0.060364711833333334],[0.112878005],[-0.4123937933333333],[0.48100981],[0.7181565650000001],[0.35840593],[0.16366085100000002],[0.598639085],[-0.43162393000000004],[0.334797976],[-0.023528016333333332],[-0.2214757966666667],[-0.5627735066666667],[-0.8445978233333333],[0.2981799261666666],[-0.04503939216666666],[0.174975356],[-0.266854055],[-0.2144385533333333],[-0.541967485],[0.035716246],[0.5159825516666666],[-0.21789710333333331],[0.3623090566666667],[0.043497285999999996],0,6
896,[-1.0830195139999998],[0.007534402800000001],[-0.152623552],[-0.015063776000000001],[0.30686784],[0.071118886],[0.502133276],[0.8336414659999999],[-0.19762451039999998],[-0.07674249860000001],[0.64511917],[-0.13967748],[0.3938964812],[-0.281632486],[-0.1861307146],[-0.25788639599999996],[-1.48103362],[0.6097765199999999],[0.1695401172],[0.640972754],[-0.2625321114],[0.08208479160000001],[-0.45296071799999993],[0.1737449288],[0.20894006799999998],[0.027712251400000006],[0.324632832],[-1.06594846],0,5
897,[-0.9477374783333334],[0.24936220083333335],[0.21342701433333336],[-0.26890958916666663],[-0.05409515833333334],[0.19231788950000003],[0.4743432241666667],[1.3128759783333332],[0.206741021],[-0.23586452616666667],[0.8447383616666665],[-0.30018279499999995],[0.6148838783333334],[-0.29653372333333333],[-0.36079196166666666],[-0.38022602000000005],[-1.6918728500000002],[0.8377532433333332],[0.1537339418333333],[0.5867843199999999],[-0.28896326166666664],[0.17914431833333336],[-0.6075384699999999],[0.277033485],[0.3103621595],[-0.05139753566666667],[0.435728275],[-0.8948404783333332],0,6
898,[-1.0684101499999998],[0.07562602433333333],[-0.043515938000000004],[-0.253404852],[-0.05988973166666667],[0.24721943316666664],[1.1108141666666667],[1.3574145333333334],[0.14244798283333335],[-0.27960194833333335],[0.9654298249999999],[-0.21359976716666665],[0.59978965],[-0.6147944683333333],[-0.1322240475],[-0.40047093999999994],[-1.9800646499999999],[0.9727639716666667],[0.07130633066666667],[0.8284689000000002],[-0.19275411933333333],[0.2640552916666667],[-0.5873108233333334],[0.7789172683333335],[0.249351997],[0.06864730066666666],[0.7186013099999999],[-1.4650166333333334],0,6
899,[-0.9814844099999999],[0.0427832325],[-0.00038316099999999645],[-0.35199826500000003],[-0.30217594],[-0.1444307975],[1.0848896533333332],[1.6630717666666668],[0.42212417999999996],[-0.07078910333333334],[0.8632934516666667],[-0.40213904333333333],[1.042060425],[-0.6215694283333333],[-0.6626450133333334],[-0.48144996999999995],[-1.9836554666666666],[1.7539944166666668],[0.05089560833333334],[0.7331049233333333],[-0.24152179250000003],[0.26754095000000006],[-0.5802674666666667],[0.9064540999999999],[0.22495736400000002],[0.16421381499999999],[0.6986222933333331],[-1.04588061],0,6
900,[-1.0462603659999998],[0.07270214280000001],[-0.059038477199999974],[-0.30364021399999996],[-0.40869747199999995],[-0.0007085019999999873],[1.01495046],[1.31904755],[0.24428763400000003],[-0.225133882],[0.9618371480000001],[-0.37195604],[0.812010884],[-0.5549014800000001],[-0.471596354],[-0.42730214],[-1.93590224],[1.39053602],[-0.037745264],[0.779745296],[-0.262896438],[0.1426348786],[-0.286333174],[0.774181036],[0.403380386],[0.004261625400000005],[0.79024509],[-1.102360972],0,5
901,[-0.7656173916666668],[-0.04692087966666667],[-0.34175670416666665],[-0.13368936383333332],[-0.07873519166666665],[0.009906889999999993],[0.9850044433333333],[0.8451355733333333],[0.07826592333333333],[-0.30953119],[0.5358624016666667],[-0.2661026366666666],[0.8735679199999998],[-0.28887420166666666],[-0.44224189],[-0.5561841116666667],[-1.3117279666666668],[1.1294061],[-0.051206274333333336],[0.5233386316666667],[-0.33130431666666665],[0.36529909499999996],[-0.11241818766666667],[0.8538150383333333],[0.4778461666666667],[-0.03342999666666667],[0.9295860633333334],[-1.1673904666666666],0,6
902,[-0.8301159016666667],[0.039371403166666666],[-0.0643058025],[-0.24133177333333333],[-0.20851060333333335],[0.009473428499999999],[0.69740131],[0.8536082916666666],[-0.055448285166666667],[-0.11942760333333331],[0.591210135],[-0.3113201016666667],[0.5905831233333333],[-0.43482466333333325],[-0.27535963599999996],[-0.33189248],[-1.4831149666666665],[0.7738437833333335],[-0.029608119166666665],[0.7460075549999999],[-0.29923185999999996],[0.06406445983333332],[-0.273397195],[0.33224640499999997],[0.2469896966666667],[-0.04606691416666667],[0.368292885],[-0.7226575383333332],0,6
903,[-0.7704187283333334],[0.03527875233333333],[-0.08398739883333334],[-0.1594216075],[-0.21957968166666672],[-0.09209725533333335],[0.6739055116666667],[1.02444195],[0.0015160033333333322],[-0.18748479583333336],[0.62898854],[-0.29467834833333334],[0.8429927133333334],[-0.4019023183333333],[-0.4173342],[-0.34977953666666667],[-1.3880994500000001],[1.2197564],[-0.08407767516666666],[0.6903539633333334],[-0.2388014291666667],[0.21618307],[-0.2803557366666667],[0.4064742666666667],[0.06282715683333334],[-0.014711947166666664],[0.4166494716666667],[-0.7466943550000001],0,6
904,[-1.097684412],[0.012355529200000003],[-0.0385062536],[-0.2117490004],[-0.6665096079999999],[-0.08382448099999998],[0.747934308],[1.293575696],[0.46079653460000003],[0.2024489766],[1.020174286],[-0.7397751400000001],[0.559679722],[-0.45909598479999997],[-0.6652668980000002],[-0.342256324],[-1.74419148],[1.04018764],[0.078061847],[0.38808038],[0.041714658],[0.10136607],[-0.406893456],[0.371983442],[0.527675988],[-0.1190629222],[0.6462305180000001],[-0.317534522],0,5
905,[-0.5976922033333333],[-0.038523934833333336],[-0.12563966666666668],[-0.140484333],[-0.4852882766666667],[0.05243176583333333],[0.4821790633333333],[0.7848076633333334],[0.29910600016666666],[-0.076936815],[0.6399535083333333],[-0.4082110116666667],[0.4629095505],[-0.40059145],[-0.44735633],[-0.285494385],[-1.16249955],[0.8072822166666667],[-0.09815845283333334],[0.54736641],[-0.06327612333333332],[0.0961438575],[-0.2232227],[0.4001289066666667],[0.17162349],[-0.14357009499999998],[0.38535246],[-0.45075118933333336],0,6
906,[-1.51948175],[-0.03700118166666668],[-0.30534300500000006],[-0.09953511083333333],[0.5192284125000001],[-0.11938571633333334],[0.7924256799999999],[1.3186362666666664],[0.5428646216666666],[0.06352443349999999],[0.9762919666666666],[-0.716083685],[-0.15745299833333332],[-0.10511577733333333],[-0.18263879500000002],[-0.7055851866666666],[-1.2524873166666668],[0.46080356833333336],[-0.099274158],[0.23721370016666665],[-0.20614114883333334],[-0.020076486000000004],[-0.40810248666666665],[-0.10026935666666668],[0.3434770856666667],[-0.10285359666666666],[0.5050917500000001],[-0.21197929233333332],0,6
